time,E,C,T,img
7.2619444444444445,0,0,0,071543.xml
7.270277777777777,0,0,0,071613.xml
7.278611111111111,0,0,0,071643.xml
7.287222222222222,1,0,0,071714.xml
7.295555555555556,0,0,0,071744.xml
7.303888888888888,0,0,0,071814.xml
7.312777777777778,0,0,0,071846.xml
7.321111111111111,0,0,0,071916.xml
7.329444444444444,0,0,0,071946.xml
7.338333333333333,0,1,0,072018.xml
7.346666666666667,0,0,0,072048.xml
7.3549999999999995,0,1,0,072118.xml
7.372222222222222,0,0,0,072220.xml
7.3805555555555555,0,1,0,072250.xml
7.387777777777778,0,0,0,072316.xml
7.396111111111112,0,1,0,072346.xml
7.404444444444445,0,1,0,072416.xml
7.413333333333334,0,0,0,072448.xml
7.421666666666667,0,0,0,072518.xml
7.438611111111111,0,0,0,072619.xml
7.505277777777778,0,0,0,073019.xml
7.513888888888889,0,1,0,073050.xml
7.522222222222222,0,1,0,073120.xml
7.530833333333334,0,1,0,073151.xml
7.539722222222222,0,1,0,073223.xml
7.548055555555555,0,1,0,073253.xml
7.556388888888889,0,0,0,073323.xml
7.5649999999999995,0,0,0,073354.xml
7.573333333333333,0,1,0,073424.xml
7.581666666666666,0,1,0,073454.xml
7.590277777777778,0,1,0,073525.xml
7.5986111111111105,0,0,0,073555.xml
7.606944444444444,0,0,0,073625.xml
7.616111111111111,0,1,0,073658.xml
7.624722222222223,0,0,0,073729.xml
7.633055555555556,0,0,0,073759.xml
7.795277777777778,0,1,0,074743.xml
7.803611111111111,0,1,0,074813.xml
7.812222222222222,0,0,0,074844.xml
7.820555555555555,0,0,0,074914.xml
7.828888888888889,0,0,0,074944.xml
7.8374999999999995,0,0,0,075015.xml
7.845833333333333,0,0,0,075045.xml
7.854166666666666,0,0,0,075115.xml
7.871388888888889,0,1,0,075217.xml
7.879722222222223,0,1,0,075247.xml
7.888611111111111,0,1,0,075319.xml
7.896944444444444,0,1,0,075349.xml
7.905277777777778,0,1,0,075419.xml
7.9141666666666675,0,1,0,075451.xml
7.9225,0,1,0,075521.xml
7.931111111111111,0,1,0,075552.xml
7.94,0,1,0,075624.xml
7.948611111111111,0,1,0,075655.xml
7.956944444444445,0,0,0,075725.xml
7.9655555555555555,0,1,0,075756.xml
7.9719444444444445,0,1,0,075819.xml
7.980277777777778,0,1,0,075849.xml
7.988888888888889,0,1,0,075920.xml
7.9975000000000005,0,0,0,075951.xml
8.005833333333333,0,1,0,080021.xml
8.014166666666666,0,1,0,080051.xml
8.023055555555556,0,1,0,080123.xml
8.03138888888889,0,1,0,080153.xml
8.04,0,1,0,080224.xml
8.04888888888889,0,1,0,080256.xml
8.057222222222222,0,0,0,080326.xml
8.065555555555557,0,0,0,080356.xml
8.074444444444444,0,0,0,080428.xml
8.082777777777778,0,0,0,080458.xml
8.091111111111111,0,0,0,080528.xml
8.099722222222223,0,0,0,080559.xml
8.108055555555556,0,0,0,080629.xml
8.116388888888888,0,0,0,080659.xml
8.125277777777779,0,0,0,080731.xml
8.13361111111111,0,0,0,080801.xml
8.141944444444444,0,0,0,080831.xml
8.150833333333333,0,0,0,080903.xml
8.159166666666668,0,0,0,080933.xml
8.167499999999999,0,0,0,081003.xml
8.176666666666666,0,0,0,081036.xml
8.185,0,0,0,081106.xml
8.193333333333333,0,0,0,081136.xml
8.201944444444443,0,0,0,081207.xml
8.210277777777778,0,0,0,081237.xml
8.21861111111111,0,0,0,081307.xml
8.227222222222222,0,0,0,081338.xml
8.235555555555555,0,0,0,081408.xml
8.243888888888888,0,0,0,081438.xml
8.252777777777778,0,0,0,081510.xml
8.261111111111111,0,0,0,081540.xml
8.269444444444446,0,0,0,081610.xml
8.278333333333334,0,0,1,081642.xml
8.286666666666667,0,0,1,081712.xml
8.295,0,0,1,081742.xml
8.303611111111111,0,0,1,081813.xml
8.312222222222223,0,0,1,081844.xml
8.320555555555556,0,0,0,081914.xml
8.329444444444444,0,0,0,081946.xml
8.337777777777779,0,0,0,082016.xml
8.346111111111112,0,0,0,082046.xml
8.354722222222222,0,0,1,082117.xml
8.363055555555555,0,0,1,082147.xml
8.371666666666668,0,0,0,082218.xml
8.380277777777778,0,0,1,082249.xml
8.38861111111111,0,0,1,082319.xml
8.396944444444443,0,0,0,082349.xml
8.405833333333334,0,0,0,082421.xml
8.414166666666667,0,0,1,082451.xml
8.4225,0,0,0,082521.xml
8.431111111111111,0,1,0,082552.xml
8.439722222222223,0,0,0,082623.xml
8.448055555555555,0,0,0,082653.xml
8.456666666666665,0,0,0,082724.xml
8.465,0,0,0,082754.xml
8.473333333333333,0,0,0,082824.xml
8.481944444444444,0,0,0,082855.xml
8.490277777777777,0,0,0,082925.xml
8.49861111111111,0,0,0,082955.xml
8.507777777777777,0,0,0,083028.xml
8.516111111111112,0,0,0,083058.xml
8.524444444444445,0,0,0,083128.xml
8.53361111111111,0,0,0,083201.xml
8.541944444444445,0,0,0,083231.xml
8.550277777777778,0,0,0,083301.xml
8.55888888888889,0,0,0,083332.xml
8.567222222222222,0,0,0,083402.xml
8.575555555555555,0,0,0,083432.xml
8.58388888888889,0,0,0,083502.xml
8.592500000000001,0,0,0,083533.xml
8.601111111111111,0,0,0,083604.xml
8.609722222222222,0,1,0,083635.xml
8.618055555555555,0,1,0,083705.xml
8.626666666666667,0,1,0,083736.xml
8.635,0,1,0,083806.xml
8.643333333333333,0,1,0,083836.xml
8.652777777777779,0,1,0,083910.xml
8.661111111111111,0,1,0,083940.xml
8.669444444444444,0,1,0,084010.xml
8.678055555555554,0,1,0,084041.xml
8.686388888888889,0,1,0,084111.xml
8.694722222222222,0,1,0,084141.xml
8.703333333333333,0,1,0,084212.xml
8.711666666666666,0,0,0,084242.xml
8.72,0,0,0,084312.xml
8.72861111111111,0,0,0,084343.xml
8.736944444444443,0,0,0,084413.xml
8.745277777777776,0,0,0,084443.xml
8.754444444444445,0,1,0,084516.xml
8.762777777777778,0,1,0,084546.xml
8.771111111111113,0,0,0,084616.xml
8.780277777777778,0,1,0,084649.xml
8.788611111111111,0,1,0,084719.xml
8.796944444444444,0,0,0,084749.xml
8.805555555555557,0,0,0,084820.xml
8.81388888888889,0,0,0,084850.xml
8.822222222222223,0,0,0,084920.xml
8.830833333333333,0,0,0,084951.xml
8.839166666666667,0,0,0,085021.xml
8.8475,0,0,0,085051.xml
8.856666666666666,0,0,0,085124.xml
8.865,0,0,0,085154.xml
8.873333333333333,0,0,0,085224.xml
8.882222222222223,0,1,0,085256.xml
8.890555555555554,0,1,0,085326.xml
8.898888888888889,0,1,0,085356.xml
8.907777777777778,0,1,0,085428.xml
8.916111111111112,0,1,0,085458.xml
8.924444444444443,0,1,0,085528.xml
8.933333333333334,0,1,0,085600.xml
8.941666666666666,0,1,0,085630.xml
8.95,0,1,0,085700.xml
8.95861111111111,0,1,0,085731.xml
8.966944444444444,0,1,0,085801.xml
8.975277777777778,0,1,0,085831.xml
8.983888888888888,0,0,0,085902.xml
8.9925,0,0,0,085933.xml
9.000833333333333,0,1,0,090003.xml
9.009722222222223,0,1,0,090035.xml
9.018055555555556,0,0,0,090105.xml
9.02638888888889,0,1,0,090135.xml
9.035,0,0,0,090206.xml
9.043333333333333,0,0,0,090236.xml
9.051666666666668,0,0,0,090306.xml
9.06027777777778,0,0,0,090337.xml
9.06861111111111,0,0,0,090407.xml
9.076944444444445,0,1,0,090437.xml
9.085833333333333,0,0,0,090509.xml
9.094166666666668,0,0,0,090539.xml
9.1025,0,0,0,090609.xml
9.111666666666666,0,0,0,090642.xml
9.120000000000001,0,0,0,090712.xml
9.128333333333334,0,0,0,090742.xml
9.136944444444444,0,0,0,090813.xml
9.145277777777777,0,0,0,090843.xml
9.153611111111111,0,0,0,090913.xml
9.162222222222223,0,0,0,090944.xml
9.170555555555556,0,0,0,091014.xml
9.178333333333333,0,0,0,091042.xml
9.186666666666667,0,0,0,091112.xml
9.195,0,0,0,091142.xml
9.203888888888889,0,0,0,091214.xml
9.212222222222222,0,0,0,091244.xml
9.220555555555556,0,0,0,091314.xml
9.229166666666666,0,0,0,091345.xml
9.237499999999999,0,0,0,091415.xml
9.245833333333332,0,0,0,091445.xml
9.255,0,0,0,091518.xml
9.263333333333334,0,0,0,091548.xml
9.271666666666668,0,0,0,091618.xml
9.280277777777778,0,0,0,091649.xml
9.288611111111111,0,0,0,091719.xml
9.296944444444444,0,0,0,091749.xml
9.305833333333334,0,0,0,091821.xml
9.314166666666667,0,0,0,091851.xml
9.3225,0,0,0,091921.xml
9.331111111111111,0,0,0,091952.xml
9.339444444444444,0,0,0,092022.xml
9.347777777777779,0,0,0,092052.xml
9.356388888888889,0,0,0,092123.xml
9.364722222222222,0,0,0,092153.xml
9.373055555555556,0,0,0,092223.xml
9.381666666666668,0,0,0,092254.xml
9.389999999999999,0,0,0,092324.xml
9.398333333333333,0,0,0,092354.xml
9.406944444444445,0,0,0,092425.xml
9.415277777777778,0,0,0,092455.xml
9.4325,0,0,0,092557.xml
9.440833333333334,0,0,0,092627.xml
9.449166666666667,0,0,0,092657.xml
9.458055555555555,0,0,0,092729.xml
9.466388888888888,0,0,0,092759.xml
9.474722222222223,0,0,0,092829.xml
9.483333333333333,0,0,0,092900.xml
9.491666666666665,0,0,0,092930.xml
9.5,0,0,0,093000.xml
9.508611111111112,0,0,0,093031.xml
9.516944444444444,0,0,0,093101.xml
9.525277777777779,0,0,0,093131.xml
9.534444444444444,0,0,0,093204.xml
9.542777777777777,0,0,0,093234.xml
9.61,0,0,0,093636.xml
9.913611111111111,0,0,0,095449.xml
11.384166666666665,0,0,0,112303.xml
11.667499999999999,0,0,0,114003.xml
11.675833333333333,0,0,0,114033.xml
11.684444444444445,0,0,0,114104.xml
11.692777777777778,0,0,0,114134.xml
11.70111111111111,0,0,0,114204.xml
11.709722222222222,0,0,0,114235.xml
11.718055555555555,0,1,0,114305.xml
11.72638888888889,0,1,0,114335.xml
11.735,0,1,0,114406.xml
11.743333333333332,0,1,0,114436.xml
11.751666666666667,0,1,0,114506.xml
11.760277777777778,0,1,0,114537.xml
11.768611111111111,0,1,0,114607.xml
11.776944444444446,0,1,0,114637.xml
11.785555555555556,0,1,0,114708.xml
11.794166666666667,0,1,0,114739.xml
11.8025,0,1,0,114809.xml
11.811388888888889,0,1,0,114841.xml
11.819722222222222,0,1,0,114911.xml
11.828055555555554,0,1,0,114941.xml
11.835555555555556,0,1,0,115008.xml
11.84388888888889,0,1,0,115038.xml
11.8525,0,1,0,115109.xml
11.86111111111111,0,1,0,115140.xml
