time,E,C,T,img
6.5616666666666665,0,0,0,063342.xml
6.569999999999999,0,0,0,063412.xml
6.578333333333333,0,0,0,063442.xml
6.586944444444444,0,0,0,063513.xml
6.595277777777778,0,0,0,063543.xml
6.60361111111111,0,0,0,063613.xml
6.612777777777778,0,0,0,063646.xml
6.621111111111111,0,0,0,063716.xml
6.629444444444445,0,0,0,063746.xml
6.638333333333333,0,0,0,063818.xml
6.6466666666666665,0,0,0,063848.xml
6.655,0,0,0,063918.xml
6.6641666666666675,0,0,0,063951.xml
6.6725,0,0,0,064021.xml
6.680833333333334,0,0,0,064051.xml
6.69,0,0,0,064124.xml
6.698333333333333,1,0,0,064154.xml
6.706666666666667,2,0,1,064224.xml
6.715833333333333,0,1,1,064257.xml
6.724166666666667,0,1,0,064327.xml
6.7325,0,1,1,064357.xml
6.741666666666667,0,1,1,064430.xml
6.75,0,0,0,064500.xml
6.758333333333334,0,1,0,064530.xml
6.766944444444444,0,0,0,064601.xml
6.775277777777777,0,1,1,064631.xml
6.783611111111111,0,1,1,064701.xml
6.7924999999999995,0,1,1,064733.xml
6.801111111111111,0,1,1,064804.xml
6.809444444444444,0,1,1,064834.xml
6.8180555555555555,0,1,1,064905.xml
6.826388888888888,0,1,1,064935.xml
6.834722222222222,0,0,1,065005.xml
6.8438888888888885,0,0,1,065038.xml
6.852222222222222,0,1,1,065108.xml
6.860555555555555,0,1,1,065138.xml
6.8691666666666675,0,1,1,065209.xml
6.8775,0,1,1,065239.xml
6.885833333333333,0,0,0,065309.xml
6.895,0,0,0,065342.xml
6.903611111111111,0,0,0,065413.xml
6.911944444444445,0,1,0,065443.xml
6.920555555555556,0,1,0,065514.xml
6.928888888888889,0,0,0,065544.xml
6.933055555555556,0,0,0,065559.xml
6.9413888888888895,0,0,0,065629.xml
6.950555555555556,0,1,0,065702.xml
6.958888888888889,0,0,0,065732.xml
6.967222222222222,0,0,0,065802.xml
6.976111111111111,0,0,0,065834.xml
6.984444444444445,0,1,0,065904.xml
6.9927777777777775,0,1,0,065934.xml
7.001944444444445,0,1,0,070007.xml
7.009722222222222,0,0,0,070035.xml
7.034722222222222,0,0,0,070205.xml
7.036944444444444,0,0,0,070213.xml
7.038333333333333,0,0,0,070218.xml
7.063888888888889,0,0,0,070350.xml
7.072222222222222,0,0,0,070420.xml
7.171111111111111,0,0,0,071016.xml
7.1786111111111115,0,0,0,071043.xml
7.186944444444444,0,1,0,071113.xml
7.195555555555556,0,1,0,071144.xml
7.204444444444444,0,0,0,071216.xml
7.254444444444444,0,0,0,071516.xml
7.263055555555556,0,0,0,071547.xml
7.271388888888889,0,0,0,071617.xml
7.279722222222222,0,0,0,071647.xml
7.288611111111111,0,0,0,071719.xml
7.296944444444445,0,0,0,071749.xml
7.3052777777777775,0,0,0,071819.xml
7.314444444444444,0,0,0,071852.xml
7.322777777777778,0,0,0,071922.xml
7.3311111111111105,0,0,0,071952.xml
7.34,0,0,0,072024.xml
7.348333333333333,0,0,0,072054.xml
7.3566666666666665,0,0,0,072124.xml
7.365833333333333,0,0,0,072157.xml
7.3741666666666665,0,0,0,072227.xml
7.382499999999999,0,0,0,072257.xml
7.39138888888889,0,1,0,072329.xml
7.3997222222222225,0,0,0,072359.xml
7.408055555555556,0,0,0,072429.xml
7.416944444444445,0,0,0,072501.xml
7.425277777777778,0,0,0,072531.xml
7.433611111111111,0,0,0,072601.xml
7.442777777777778,0,0,0,072634.xml
7.4511111111111115,0,0,0,072704.xml
7.459444444444444,0,0,0,072734.xml
7.468055555555556,0,0,0,072805.xml
7.476388888888889,0,0,0,072835.xml
7.4847222222222225,0,0,0,072905.xml
7.493611111111111,0,1,0,072937.xml
7.501944444444445,0,0,0,073007.xml
7.510277777777778,0,1,0,073037.xml
7.519166666666667,0,1,0,073109.xml
7.5275,0,0,0,073139.xml
7.535833333333334,0,1,0,073209.xml
7.544722222222222,0,1,0,073241.xml
7.553055555555555,0,1,0,073311.xml
7.561388888888889,0,1,0,073341.xml
7.570277777777777,0,1,0,073413.xml
7.578611111111111,0,1,0,073443.xml
7.586944444444444,0,1,0,073513.xml
7.595833333333333,0,1,0,073545.xml
7.604166666666666,0,1,0,073615.xml
7.6125,0,1,0,073645.xml
7.621666666666667,0,1,0,073718.xml
7.630000000000001,0,0,0,073748.xml
7.638333333333333,0,0,0,073818.xml
7.647222222222222,0,0,0,073850.xml
7.655555555555556,0,1,0,073920.xml
7.66388888888889,0,1,0,073950.xml
7.672777777777778,0,0,0,074022.xml
7.681111111111111,0,1,0,074052.xml
7.689444444444445,0,1,0,074122.xml
7.698333333333333,0,0,0,074154.xml
7.706666666666667,0,0,0,074224.xml
7.715,0,0,0,074254.xml
7.723888888888889,0,0,0,074326.xml
7.732222222222222,0,1,0,074356.xml
7.740555555555556,0,1,0,074426.xml
7.749444444444444,0,1,0,074458.xml
7.758055555555556,0,1,0,074529.xml
7.766388888888889,0,1,0,074559.xml
7.775,0,0,0,074630.xml
7.783333333333333,0,1,0,074700.xml
7.791666666666667,0,1,0,074730.xml
7.800833333333333,0,1,0,074803.xml
7.8075,0,1,0,074827.xml
7.815833333333333,0,1,0,074857.xml
7.8244444444444445,0,1,0,074928.xml
7.833055555555555,0,1,0,074959.xml
7.841666666666667,0,1,0,075030.xml
7.85,0,0,0,075100.xml
7.858888888888888,0,1,0,075132.xml
7.867222222222223,0,1,0,075202.xml
7.875555555555556,0,1,0,075232.xml
7.884444444444444,0,1,0,075304.xml
7.892777777777777,0,1,0,075334.xml
7.901111111111112,0,1,0,075404.xml
7.91,0,1,0,075436.xml
7.918333333333334,0,1,0,075506.xml
7.926666666666667,0,1,0,075536.xml
7.935555555555556,0,1,0,075608.xml
7.943888888888889,0,1,0,075638.xml
7.952222222222223,0,0,0,075708.xml
7.961111111111111,0,1,0,075740.xml
7.969444444444445,0,1,0,075810.xml
7.977777777777778,0,1,0,075840.xml
7.986944444444444,0,1,0,075913.xml
7.995277777777778,0,1,0,075943.xml
8.00361111111111,0,1,0,080013.xml
8.0125,0,1,0,080045.xml
8.020833333333334,0,1,0,080115.xml
8.029166666666667,0,1,0,080145.xml
8.037777777777778,0,1,0,080216.xml
8.046111111111111,0,1,0,080246.xml
8.054444444444446,0,1,0,080316.xml
8.063611111111111,0,1,0,080349.xml
8.071944444444444,0,1,0,080419.xml
8.080277777777777,0,1,0,080449.xml
8.08888888888889,0,1,0,080520.xml
8.097222222222223,0,1,0,080550.xml
8.105555555555556,0,1,0,080620.xml
8.114722222222222,0,1,0,080653.xml
8.123055555555556,0,1,0,080723.xml
8.131666666666668,0,1,0,080754.xml
8.140277777777778,0,1,0,080825.xml
8.14861111111111,0,1,0,080855.xml
8.156944444444445,0,1,0,080925.xml
8.165833333333333,0,1,0,080957.xml
8.174166666666666,0,0,0,081027.xml
8.1825,0,0,0,081057.xml
8.19111111111111,0,1,0,081128.xml
8.199444444444445,0,0,0,081158.xml
8.207777777777777,0,1,0,081228.xml
8.216666666666667,0,1,0,081300.xml
8.225277777777778,0,0,0,081331.xml
8.23361111111111,0,0,0,081401.xml
8.242222222222221,0,0,0,081432.xml
8.250555555555556,0,0,0,081502.xml
8.258888888888889,0,0,0,081532.xml
8.268055555555556,0,0,0,081605.xml
8.27638888888889,0,0,0,081635.xml
8.284722222222221,0,0,0,081705.xml
8.293611111111112,0,0,0,081737.xml
8.301944444444445,0,0,0,081807.xml
8.31027777777778,0,0,0,081837.xml
8.319166666666666,0,0,0,081909.xml
8.3275,0,0,0,081939.xml
8.335833333333333,0,0,0,082009.xml
8.344444444444445,0,0,0,082040.xml
8.352777777777778,0,0,0,082110.xml
8.36111111111111,0,0,0,082140.xml
8.370000000000001,0,0,0,082212.xml
8.378333333333334,0,1,0,082242.xml
8.386666666666667,0,0,0,082312.xml
8.39611111111111,0,0,0,082346.xml
8.404444444444445,0,0,0,082416.xml
8.412222222222223,0,0,0,082444.xml
8.420555555555556,0,0,1,082514.xml
8.429166666666665,0,0,1,082545.xml
8.437777777777779,0,0,0,082616.xml
8.446111111111112,0,0,1,082646.xml
8.454444444444444,0,0,1,082716.xml
8.463055555555554,0,0,1,082747.xml
8.471388888888889,0,0,1,082817.xml
8.48,0,0,1,082848.xml
8.488888888888889,0,0,1,082920.xml
8.497222222222222,0,0,1,082950.xml
8.505555555555556,0,0,1,083020.xml
8.514444444444445,0,0,1,083052.xml
8.522777777777778,0,0,0,083122.xml
8.531111111111112,0,0,1,083152.xml
8.540277777777778,0,0,1,083225.xml
8.54861111111111,0,0,1,083255.xml
8.556944444444445,0,0,0,083325.xml
8.565833333333334,0,0,1,083357.xml
8.574166666666667,0,0,1,083427.xml
8.5825,0,0,1,083457.xml
8.591111111111111,0,0,1,083528.xml
8.599444444444446,0,0,0,083558.xml
8.608055555555556,0,0,1,083629.xml
8.616944444444444,0,0,1,083701.xml
8.625277777777779,0,0,1,083731.xml
8.63361111111111,0,0,0,083801.xml
8.642777777777777,0,0,0,083834.xml
8.651111111111112,0,0,1,083904.xml
8.659444444444444,0,0,1,083934.xml
8.668055555555554,0,0,1,084005.xml
8.676388888888889,0,0,0,084035.xml
8.685,0,0,0,084106.xml
8.693888888888889,0,0,0,084138.xml
8.702222222222222,0,0,0,084208.xml
8.710555555555555,0,0,0,084238.xml
8.719166666666666,0,0,0,084309.xml
8.727500000000001,0,0,0,084339.xml
8.735833333333332,0,0,0,084409.xml
8.74472222222222,0,0,0,084441.xml
8.753055555555555,0,0,0,084511.xml
8.761388888888888,0,0,0,084541.xml
8.770833333333334,0,0,1,084615.xml
8.779166666666667,0,0,1,084645.xml
8.7875,0,0,1,084715.xml
8.796388888888888,0,0,1,084747.xml
8.804722222222223,0,0,1,084817.xml
8.813055555555556,0,0,1,084847.xml
8.821944444444444,0,0,1,084919.xml
8.830277777777777,0,0,1,084949.xml
8.838611111111112,0,0,1,085019.xml
8.8475,0,0,1,085051.xml
8.855833333333333,0,0,1,085121.xml
8.864166666666666,0,0,1,085151.xml
8.872777777777777,0,0,1,085222.xml
8.881111111111112,0,0,1,085252.xml
8.889444444444443,0,0,1,085322.xml
8.89861111111111,0,0,1,085355.xml
8.906944444444445,0,1,0,085425.xml
8.915277777777778,0,0,0,085455.xml
8.924444444444443,0,0,0,085528.xml
8.932777777777778,0,0,0,085558.xml
8.94111111111111,0,0,0,085628.xml
8.95,0,0,0,085700.xml
8.958333333333332,0,0,1,085730.xml
8.966666666666667,0,1,1,085800.xml
8.975555555555555,0,1,0,085832.xml
8.983888888888888,0,0,0,085902.xml
8.9925,0,0,0,085933.xml
9.001388888888888,0,0,0,090005.xml
9.009722222222223,0,0,0,090035.xml
9.017222222222223,0,0,0,090102.xml
9.025555555555556,0,0,0,090132.xml
9.034166666666666,0,0,0,090203.xml
9.043055555555556,0,0,1,090235.xml
9.051388888888889,0,0,1,090305.xml
9.059722222222224,0,0,1,090335.xml
9.06861111111111,0,0,0,090407.xml
9.076944444444445,0,0,0,090437.xml
9.085277777777778,0,0,0,090507.xml
9.094166666666668,0,0,0,090539.xml
9.1025,0,0,0,090609.xml
9.110833333333334,0,0,0,090639.xml
9.120000000000001,0,0,0,090712.xml
9.128333333333334,0,0,0,090742.xml
9.136666666666667,0,0,0,090812.xml
9.145833333333332,0,0,1,090845.xml
9.154166666666667,0,0,1,090915.xml
9.1625,0,0,0,090945.xml
9.171388888888888,0,0,0,091017.xml
9.179722222222221,0,0,0,091047.xml
9.188055555555556,0,0,0,091117.xml
9.196944444444444,0,0,0,091149.xml
9.205277777777777,0,0,0,091219.xml
9.213888888888889,0,0,0,091250.xml
9.2225,0,0,0,091321.xml
9.230833333333333,0,0,0,091351.xml
9.239166666666666,0,0,0,091421.xml
9.248333333333333,0,0,0,091454.xml
9.256666666666666,0,0,0,091524.xml
9.265,0,0,0,091554.xml
9.274166666666668,0,0,0,091627.xml
9.2825,0,0,0,091657.xml
9.290833333333333,0,0,0,091727.xml
9.299444444444445,0,0,0,091758.xml
9.307777777777778,0,0,1,091828.xml
9.316111111111113,0,0,0,091858.xml
9.325277777777778,0,0,0,091931.xml
9.33361111111111,0,0,0,092001.xml
9.341944444444445,0,0,0,092031.xml
9.350555555555555,0,0,0,092102.xml
9.358888888888888,0,0,1,092132.xml
9.367222222222223,0,0,1,092202.xml
9.376111111111111,0,0,1,092234.xml
9.384444444444444,0,0,1,092304.xml
9.392777777777777,0,0,1,092334.xml
9.402222222222223,0,0,1,092408.xml
9.410555555555556,0,0,1,092438.xml
9.418888888888889,0,0,1,092508.xml
9.4275,0,0,1,092539.xml
9.435833333333333,0,0,1,092609.xml
9.444166666666668,0,0,1,092639.xml
9.453333333333333,0,0,1,092712.xml
9.461666666666666,0,0,1,092742.xml
9.47,0,0,1,092812.xml
9.47861111111111,0,0,1,092843.xml
9.486944444444443,0,0,1,092913.xml
9.495555555555555,0,0,1,092944.xml
9.504166666666666,0,0,1,093015.xml
9.5125,0,0,1,093045.xml
9.520833333333334,0,0,1,093115.xml
9.529722222222222,0,0,1,093147.xml
9.538055555555555,0,0,1,093217.xml
9.546388888888888,0,0,1,093247.xml
9.555000000000001,0,0,1,093318.xml
9.563333333333334,0,0,1,093348.xml
9.571666666666667,0,0,1,093418.xml
9.580833333333333,0,0,1,093451.xml
9.589166666666667,0,0,1,093521.xml
9.5975,0,0,1,093551.xml
9.606388888888889,0,0,1,093623.xml
9.614722222222222,0,0,1,093653.xml
9.621944444444445,0,0,1,093719.xml
9.630277777777778,0,0,1,093749.xml
9.63888888888889,0,0,1,093820.xml
9.647222222222222,0,0,1,093850.xml
