time,E,C,T,img
5.388888888888889,0,0,0,052320.xml
5.3950000000000005,0,0,0,052342.xml
6.273333333333333,0,0,0,061624.xml
6.282222222222222,0,0,0,061656.xml
6.290555555555556,0,0,0,061726.xml
6.2988888888888885,0,0,0,061756.xml
6.3075,0,0,0,061827.xml
6.315833333333333,0,0,0,061857.xml
6.324166666666667,0,0,0,061927.xml
6.333333333333333,0,0,0,062000.xml
6.341666666666667,0,0,0,062030.xml
6.35,0,0,0,062100.xml
6.35861111111111,0,1,0,062131.xml
6.366944444444444,0,0,0,062201.xml
6.375277777777777,0,0,0,062231.xml
6.384444444444445,0,0,0,062304.xml
6.392777777777778,0,0,0,062334.xml
6.401111111111112,0,0,0,062404.xml
6.410277777777778,0,0,0,062437.xml
6.418611111111112,0,0,0,062507.xml
6.426944444444445,0,0,0,062537.xml
6.435833333333334,0,0,0,062609.xml
6.444444444444445,0,0,0,062640.xml
6.452777777777778,0,0,0,062710.xml
6.461666666666667,0,0,0,062742.xml
6.47,0,0,0,062812.xml
6.4783333333333335,0,0,0,062842.xml
6.4875,0,0,0,062915.xml
6.496111111111111,0,0,0,062946.xml
6.504444444444444,0,1,0,063016.xml
6.513333333333334,0,1,0,063048.xml
6.5216666666666665,0,1,0,063118.xml
6.53,0,1,0,063148.xml
6.539444444444444,0,1,1,063222.xml
6.547777777777777,0,1,0,063252.xml
6.556111111111111,0,0,0,063322.xml
6.564722222222222,0,0,1,063353.xml
6.573055555555555,0,0,1,063423.xml
6.581666666666666,0,0,1,063454.xml
6.5905555555555555,0,0,1,063526.xml
6.598888888888888,0,0,0,063556.xml
6.607222222222222,0,0,1,063626.xml
6.616388888888888,0,0,0,063659.xml
6.625000000000001,2,0,1,063730.xml
6.633333333333333,2,0,1,063800.xml
6.642222222222221,0,0,0,063832.xml
6.650555555555556,0,1,1,063902.xml
6.658888888888889,0,0,1,063932.xml
6.668055555555556,0,0,1,064005.xml
6.676388888888889,0,0,0,064035.xml
6.684722222222223,0,1,0,064105.xml
6.693888888888889,0,0,1,064138.xml
6.702222222222223,0,0,1,064208.xml
6.710555555555556,0,0,1,064238.xml
6.72,0,1,1,064312.xml
6.7283333333333335,0,0,1,064342.xml
6.736666666666666,0,0,1,064412.xml
6.745277777777778,0,0,1,064443.xml
6.753888888888889,0,0,1,064514.xml
6.762222222222222,0,0,0,064544.xml
6.771388888888889,0,0,0,064617.xml
6.779722222222222,0,0,0,064647.xml
6.788055555555555,0,0,0,064717.xml
6.973611111111111,0,0,0,065825.xml
6.981944444444444,0,0,0,065855.xml
6.990833333333334,0,0,0,065927.xml
6.9991666666666665,0,0,0,065957.xml
7.0075,0,0,0,070027.xml
7.016388888888889,0,0,0,070059.xml
7.0247222222222225,0,0,0,070129.xml
7.033055555555555,0,0,0,070159.xml
7.041944444444444,0,0,0,070231.xml
7.050277777777778,0,0,0,070301.xml
7.0586111111111105,0,0,0,070331.xml
7.067222222222222,0,0,0,070402.xml
7.075555555555555,0,0,0,070432.xml
7.083888888888889,0,0,0,070502.xml
7.092777777777777,0,0,0,070534.xml
7.101111111111111,0,0,0,070604.xml
7.109444444444444,0,0,0,070634.xml
7.118611111111111,0,0,0,070707.xml
7.126944444444444,0,0,0,070737.xml
7.1352777777777785,0,0,0,070807.xml
7.143888888888889,0,0,0,070838.xml
7.152222222222223,0,0,0,070908.xml
7.160555555555556,0,0,0,070938.xml
7.169722222222222,0,0,0,071011.xml
7.178055555555556,0,0,0,071041.xml
7.195277777777778,0,0,0,071143.xml
7.202777777777778,0,0,0,071210.xml
7.211111111111111,0,0,0,071240.xml
7.22,0,0,0,071312.xml
7.2283333333333335,0,0,0,071342.xml
7.236666666666666,0,0,0,071412.xml
7.245833333333334,0,0,0,071445.xml
7.254166666666666,0,0,0,071515.xml
7.2625,0,1,0,071545.xml
7.271111111111111,0,0,0,071616.xml
7.279444444444445,0,0,0,071646.xml
7.2877777777777775,0,0,0,071716.xml
7.296388888888889,0,0,0,071747.xml
7.304722222222222,0,1,0,071817.xml
7.313055555555556,0,0,0,071847.xml
7.321944444444444,0,0,0,071919.xml
7.330277777777778,0,1,0,071949.xml
7.338611111111111,0,0,0,072019.xml
7.347222222222222,0,0,0,072050.xml
7.355555555555555,0,0,0,072120.xml
7.364166666666667,0,0,0,072151.xml
7.372777777777777,0,0,0,072222.xml
7.38111111111111,0,0,0,072252.xml
7.389444444444445,0,0,0,072322.xml
7.398333333333333,0,0,0,072354.xml
7.406666666666667,0,0,0,072424.xml
7.415277777777778,0,0,0,072455.xml
7.423888888888889,0,0,0,072526.xml
7.432222222222222,0,0,0,072556.xml
7.440555555555556,0,0,0,072626.xml
7.449722222222222,0,0,0,072659.xml
7.458055555555556,0,0,0,072729.xml
