time,E,C,T,img
10.092500000000001,0,0,0,100533.xml
10.100833333333332,0,0,0,100603.xml
10.105,0,0,0,100618.xml
10.10611111111111,0,0,0,100622.xml
10.114722222222222,0,0,0,100653.xml
10.123333333333333,0,0,1,100724.xml
10.13361111111111,0,0,1,100801.xml
10.141944444444444,0,0,0,100831.xml
10.150277777777777,0,0,0,100901.xml
10.158888888888889,0,0,0,100932.xml
10.167499999999999,0,0,0,101003.xml
10.175833333333333,0,0,0,101033.xml
10.184722222222222,0,0,0,101105.xml
10.193055555555556,0,0,1,101135.xml
10.201388888888888,0,0,1,101205.xml
10.210277777777778,0,0,1,101237.xml
10.21861111111111,0,0,1,101307.xml
10.226944444444445,0,0,1,101337.xml
10.235833333333332,0,0,1,101409.xml
10.244444444444444,0,0,1,101440.xml
10.252777777777778,0,0,0,101510.xml
10.261944444444444,0,0,0,101543.xml
10.270277777777778,0,0,0,101613.xml
10.278611111111111,0,0,0,101643.xml
10.2875,0,0,1,101715.xml
10.295833333333333,0,0,1,101745.xml
10.304166666666667,0,0,1,101815.xml
10.313333333333334,0,0,1,101848.xml
10.321666666666667,0,0,1,101918.xml
10.33,0,0,1,101948.xml
10.33888888888889,0,0,1,102020.xml
10.347222222222223,0,0,1,102050.xml
10.355555555555556,0,0,1,102120.xml
10.365,0,0,0,102154.xml
10.373333333333333,0,0,0,102224.xml
10.381666666666668,0,0,0,102254.xml
10.390555555555554,0,0,0,102326.xml
10.398888888888889,0,0,0,102356.xml
10.4075,0,0,0,102427.xml
10.416111111111112,0,0,0,102458.xml
10.424444444444443,0,0,0,102528.xml
10.432777777777778,0,0,0,102558.xml
10.441666666666666,0,0,0,102630.xml
10.45,0,0,0,102700.xml
10.458333333333332,0,0,0,102730.xml
10.467222222222222,0,0,0,102802.xml
10.475555555555555,0,0,0,102832.xml
10.483888888888888,0,0,0,102902.xml
10.493055555555555,0,0,1,102935.xml
10.501388888888888,0,0,1,103005.xml
10.509722222222223,0,0,1,103035.xml
10.518611111111111,0,0,1,103107.xml
10.526944444444446,0,0,1,103137.xml
10.535277777777777,0,0,0,103207.xml
10.544444444444444,0,0,0,103240.xml
10.553055555555556,0,0,0,103311.xml
10.561388888888889,0,0,0,103341.xml
10.570277777777777,0,0,0,103413.xml
10.57861111111111,0,0,0,103443.xml
10.586944444444445,0,0,0,103513.xml
10.595833333333333,0,0,0,103545.xml
10.604166666666666,0,0,0,103615.xml
10.612499999999999,0,0,0,103645.xml
10.621666666666668,0,0,0,103718.xml
10.63,0,0,0,103748.xml
10.638333333333334,0,0,0,103818.xml
10.646944444444443,0,0,0,103849.xml
10.655277777777778,0,0,0,103919.xml
10.663611111111111,0,0,0,103949.xml
10.6725,0,0,0,104021.xml
10.680833333333332,0,0,0,104051.xml
10.689444444444444,0,0,0,104122.xml
10.698055555555555,0,0,0,104153.xml
10.706388888888888,0,0,1,104223.xml
10.714722222222221,0,0,1,104253.xml
10.723888888888888,0,0,1,104326.xml
10.732222222222223,0,0,1,104356.xml
10.739444444444443,0,0,1,104422.xml
10.747777777777777,0,0,0,104452.xml
10.756388888888889,0,0,1,104523.xml
10.765277777777778,0,0,1,104555.xml
10.773611111111112,0,0,0,104625.xml
10.781944444444445,0,0,0,104655.xml
10.79111111111111,0,0,0,104728.xml
10.799444444444445,0,0,0,104758.xml
10.807777777777778,0,0,0,104828.xml
10.816944444444443,0,0,0,104901.xml
10.825277777777778,0,0,0,104931.xml
10.842222222222222,0,0,0,105032.xml
10.858611111111111,0,0,0,105131.xml
10.867222222222223,0,0,0,105202.xml
10.875555555555556,0,0,0,105232.xml
10.883888888888889,0,0,0,105302.xml
10.892777777777777,0,0,0,105334.xml
10.901111111111112,0,0,0,105404.xml
10.909444444444444,0,0,0,105434.xml
10.918333333333333,0,0,0,105506.xml
10.926666666666666,0,0,1,105536.xml
10.935,0,0,0,105606.xml
10.944444444444445,0,0,0,105640.xml
10.952777777777778,0,0,0,105710.xml
10.96111111111111,0,0,0,105740.xml
10.97,0,0,0,105812.xml
10.978333333333333,0,0,0,105842.xml
10.986666666666666,0,0,0,105912.xml
10.995555555555555,0,0,0,105944.xml
11.00388888888889,0,0,0,110014.xml
11.012222222222222,0,0,0,110044.xml
11.021666666666668,0,0,1,110118.xml
11.030000000000001,0,0,1,110148.xml
11.038333333333334,0,0,0,110218.xml
11.046944444444444,0,0,1,110249.xml
11.055277777777778,0,0,1,110319.xml
11.063611111111111,0,0,0,110349.xml
11.072777777777777,0,0,0,110422.xml
11.081111111111111,0,0,0,110452.xml
11.089444444444444,0,0,0,110522.xml
11.098055555555556,0,0,0,110553.xml
11.106666666666666,0,0,0,110624.xml
11.115,0,0,0,110654.xml
11.123888888888889,0,0,1,110726.xml
11.132222222222223,0,0,1,110756.xml
11.140555555555554,0,0,1,110826.xml
11.149722222222222,0,0,1,110859.xml
11.158055555555556,0,0,1,110929.xml
11.16638888888889,0,0,1,110959.xml
11.174999999999999,0,0,0,111030.xml
11.183333333333334,0,0,0,111100.xml
11.191666666666666,0,0,0,111130.xml
11.200833333333332,0,0,0,111203.xml
11.209166666666667,0,0,0,111233.xml
11.2175,0,0,0,111303.xml
11.22638888888889,0,0,0,111335.xml
11.23472222222222,0,0,0,111405.xml
11.243055555555555,0,0,0,111435.xml
11.251944444444444,0,0,0,111507.xml
11.260277777777778,0,0,0,111537.xml
11.268611111111111,0,0,1,111607.xml
11.277777777777779,0,0,1,111640.xml
11.286111111111111,0,0,0,111710.xml
11.294444444444444,0,0,0,111740.xml
11.303333333333335,0,0,0,111812.xml
11.311666666666667,0,0,0,111842.xml
11.32,0,0,0,111912.xml
11.328888888888889,0,0,0,111944.xml
11.3375,0,0,0,112015.xml
11.345,0,0,0,112042.xml
11.353333333333333,0,0,0,112112.xml
11.361666666666666,0,0,0,112142.xml
11.370833333333334,0,0,1,112215.xml
11.379166666666666,0,0,0,112245.xml
11.3875,0,0,0,112315.xml
11.404444444444445,0,0,0,112416.xml
11.412777777777778,0,0,0,112446.xml
11.421666666666667,0,0,0,112518.xml
11.43,0,0,0,112548.xml
11.438333333333334,0,0,0,112618.xml
11.4475,0,0,0,112651.xml
11.455833333333333,0,0,0,112721.xml
11.464166666666666,0,0,0,112751.xml
11.472777777777777,0,0,0,112822.xml
11.481111111111112,0,0,0,112852.xml
11.489444444444443,0,0,1,112922.xml
11.498055555555554,0,0,1,112953.xml
11.506388888888889,0,0,0,113023.xml
11.514722222222222,0,0,0,113053.xml
11.524166666666668,0,0,0,113127.xml
11.5325,0,0,0,113157.xml
11.540833333333333,0,0,0,113227.xml
11.549444444444445,0,0,0,113258.xml
11.557777777777778,0,0,0,113328.xml
11.566111111111113,0,0,0,113358.xml
11.575,0,0,0,113430.xml
11.583333333333334,0,0,0,113500.xml
11.591666666666667,0,0,0,113530.xml
11.600555555555555,0,0,0,113602.xml
11.608888888888888,0,0,0,113632.xml
11.6175,0,0,0,113703.xml
11.626666666666667,0,0,1,113736.xml
11.635,0,0,1,113806.xml
11.643333333333333,0,0,1,113836.xml
11.652222222222223,0,0,0,113908.xml
11.660555555555556,0,0,0,113938.xml
11.668888888888889,0,0,0,114008.xml
11.677777777777777,0,0,0,114040.xml
11.686111111111112,0,0,0,114110.xml
11.694722222222222,0,0,0,114141.xml
11.703333333333333,0,0,0,114212.xml
11.711666666666666,0,0,0,114242.xml
11.72,0,0,0,114312.xml
11.737222222222222,0,0,0,114414.xml
11.745555555555555,0,0,0,114444.xml
11.754444444444445,0,0,0,114516.xml
11.762777777777778,0,0,0,114546.xml
11.771111111111113,0,0,0,114616.xml
11.780000000000001,0,0,0,114648.xml
11.788333333333334,0,0,0,114718.xml
11.796666666666667,0,0,0,114748.xml
11.805833333333334,0,0,0,114821.xml
11.814166666666667,0,0,0,114851.xml
11.8225,0,0,0,114921.xml
11.831388888888888,0,0,0,114953.xml
11.839722222222223,0,0,0,115023.xml
11.841944444444445,0,0,0,115031.xml
11.850277777777777,0,0,0,115101.xml
11.859166666666667,0,0,0,115133.xml
11.8675,0,0,1,115203.xml
11.876111111111111,0,0,1,115234.xml
